Numero Documento;Fecha de Creacion;Tipo de CDP;Estado;Dependencia;Dependencia Descripcion;Rubro;Descripcion;Fuente;Recurso;Sit; Valor Inicial ; Valor Operaciones ; Valor Actual ; Saldo por Comprometer ;Objeto;Solicitud CDP;Compromisos;Cuentas por Pagar;Obligaciones;Ordenes de Pago;Reintegros
125;2025-01-08 15:10:00;Gasto;Con Compromiso;911309;CENTRO AGROPECUARIO-CAUCA - SALUD OCUPACIONAL;C-3603-1300-20-20305C-3603025-02;ADQUIS. DE BYS - SERVICIO DE FORMACIÓN PROFESIONAL INTEGRAL - FORTALECIMIENTO DE LA PRESTACIÓN DEL SERVICIO DE FORMACIÓN PROFESIONAL Y EL RECONOCIMIENTO DE SABERES PREVIOS CON ÉNFASIS EN POBLACIONES CAMPESINAS Y POPULARES EN COLOMBIA NACIONAL;Propios;INGRESOS CORRIENTES;CSF; $ 55.188.934,00 ; $ -   ; $ 55.188.934,00 ; $ -   ;DOTACIÓN: DOTACION Y ROPA DE TRABAJO RECURSOS PARA ADQUISICIÓN DE ELEMENTOS DE PROTECCIÓN PERSONAL (FUNCIONARIOS Y TRABAJADORES OFICIALES) Y DOTACIÓN DE BRIGADA;125;268225;160325;560225;326517925;-0
225;2025-01-08 15:15:00;Gasto;Generado;911309;CENTRO AGROPECUARIO-CAUCA - SALUD OCUPACIONAL;C-3603-1300-20-20305C-3603025-02;ADQUIS. DE BYS - SERVICIO DE FORMACIÓN PROFESIONAL INTEGRAL - FORTALECIMIENTO DE LA PRESTACIÓN DEL SERVICIO DE FORMACIÓN PROFESIONAL Y EL RECONOCIMIENTO DE SABERES PREVIOS CON ÉNFASIS EN POBLACIONES CAMPESINAS Y POPULARES EN COLOMBIA NACIONAL;Nación;RECURSOS CORRIENTES;CSF; $ 569.250,00 ;-$ 569.250,00 ; $ -   ; $ -   ;VIÁTICOS ADMINISTRATIVOS: VALOR EQUIVALENTE A LOS GASTOS DE TRANSPORTE DE LOS APOYOS PARA EL ENCUENTRO DE SEGURIDAD Y SALUD EN EL TRABAJO.;225;-0;-0;-0;-0;-0
325;2025-01-08 15:21:00;Gasto;Con Compromiso;911310;CENTRO AGORPECUARIO-CAUCA;C-3602-1300-11-20305C-3602031-02;ADQUIS. DE BYS - SERVICIO DE FORMACIÓN PARA EL TRABAJO EN COMPETENCIAS PARA LA INSERCIÓN LABORAL - MEJORAMIENTO DE LAS COMPETENCIAS PARA LA EMPLEABILIDAD DE LA POBLACIÓN VÍCTIMA DEL DESPLAZAMIENTO FORZADO POR EL CONFLICTO ARMADO A NIVEL NACIONAL;Nación;RECURSOS CORRIENTES;CSF; $ 15.880.000,00 ; $ 9.662.131,00 ; $ 25.542.131,00 ; $ 10.732.631,00 ;VIÁTICOS FORMACIÓN: RECURSOS PARA FINANCIAR VIÁTICOS Y GASTOS DE VIAJE DE INSTRUCTORES Y EQUIPO REGIONAL DE VÍCTIMAS DE DESPLAZAMIENTO DEL CONFLICTO ARMADO;325;34025, 34125, 34225, 34325, 60025, 60125, 60225, 60325, 60425, 60525, 60625, 60725, 83825, 83925, 84025, 84125, 84225, 120825, 120925, 121025, 121125, 121225, 121325, 121425, 121525, 193025, 193125, 193225, 193325, 193425, 229325, 291925, 292025, 292125, 292225, 292325, 292425, 327725, 327825, 327925, 328025, 355525, 355625, 413125, 413225, 413325, 413425, 413525, 413625, 413725;4425, 4525, 4625, 4725, 107625, 107725, 107825, 107925, 108025, 108125;44925, 46725, 49025, 49225, 56025, 57825, 58425, 58825, 59425, 60625, 61925, 62225, 123725, 124825, 125725, 126025, 127825, 183625, 183725, 184125, 184725, 185925, 186225, 186825, 187025, 300925, 301225, 301425, 302125, 302225, 318425, 404925, 406425, 407325, 407525, 408025, 409925, 456625, 460625, 461425, 466125, 466525, 470425, 621625, 622025, 622225, 622525, 622625, 622925, 623025;60509425, 60511525, 60513925, 60514125, 74662925, 74664925, 74665525, 74666025, 74666625, 74667725, 74668925, 74669225, 116414325, 116415425, 116417025, 116417725, 116420025, 150947625, 150947725, 150948125, 150948725, 150950125, 150950425, 150951025, 150951225, 188386925, 188387225, 188387425, 188388125, 188388225, 197965725, 249088725, 249091025, 249091925, 249092125, 249092625, 249094625, 292233325, 292237425, 292238225, 292243025, 292243425, 292252425, 341655425, 341655825, 341656025, 341656325, 341656425, 341656725, 341656825;-0
425;2025-01-08 15:24:00;Gasto;Con Compromiso;911310;CENTRO AGORPECUARIO-CAUCA;C-3602-1300-11-20305C-3602031-02;ADQUIS. DE BYS - SERVICIO DE FORMACIÓN PARA EL TRABAJO EN COMPETENCIAS PARA LA INSERCIÓN LABORAL - MEJORAMIENTO DE LAS COMPETENCIAS PARA LA EMPLEABILIDAD DE LA POBLACIÓN VÍCTIMA DEL DESPLAZAMIENTO FORZADO POR EL CONFLICTO ARMADO A NIVEL NACIONAL;Nación;RECURSOS CORRIENTES;CSF; $ 127.040.000,00 ; $ -   ; $ 127.040.000,00 ; $ 58.394.000,00 ;MATERIALES FORMACIÓN:RECURSOS PARA LA COMPRA DE MATERIALES DE FORMACIÓN VICTIMAS DE DESPLAZAMIENTO DEL CONFLICTO ARMADO;425;257425, 282425, 306825;-0;-0;-0;-0
525;2025-01-08 15:28:00;Gasto;Con Compromiso;911310;CENTRO AGORPECUARIO-CAUCA;C-3602-1300-11-20305C-3602031-02;ADQUIS. DE BYS - SERVICIO DE FORMACIÓN PARA EL TRABAJO EN COMPETENCIAS PARA LA INSERCIÓN LABORAL - MEJORAMIENTO DE LAS COMPETENCIAS PARA LA EMPLEABILIDAD DE LA POBLACIÓN VÍCTIMA DEL DESPLAZAMIENTO FORZADO POR EL CONFLICTO ARMADO A NIVEL NACIONAL;Nación;RECURSOS CORRIENTES;CSF; $ 635.196.000,00 ; $ 47.250.755,59 ; $ 682.446.755,59 ; $ 47.714.237,59 ;INSTRUCTOR: RECURSOS PARA LA CONTRATACIÓN DE INSTRUCTORES VICTIMAS DE DESPLAZAMIENTO DEL CONFLICTO ARMADO;525;7825, 7925, 8025, 8125, 8225, 9425, 9525, 9625, 9725, 9825, 9925, 10025, 10125, 11325, 16025;-0;13825, 13925, 14025, 14125, 14225, 15425, 15525, 15625, 15725, 15825, 15925, 16025, 16125, 19725, 35525, 88125, 88225, 88325, 88425, 88525, 89025, 89125, 89225, 89325, 89425, 89525, 89625, 89725, 92325, 135725, 135825, 135925, 136025, 136125, 137325, 137425, 137525, 137625, 137725, 137825, 137925, 138025, 142825, 231725, 231825, 231925, 233125, 233225, 233325, 233425, 233525, 233625, 233725, 233825, 239025, 252125, 252225, 252325, 252425, 252525, 331525, 332425, 332525, 349925, 350025, 350125, 350225, 350625, 350725, 350825, 350925, 351025, 351125, 351425, 352025, 426325, 426425, 426525, 427425, 427525, 427625, 427725, 427825, 427925, 428025, 428125, 429025, 473325, 473425, 474525, 517625, 517725, 517825, 517925, 518025, 519125, 519225, 519325, 519425, 519525, 519625, 519725, 520925, 538825;48590825, 48590925, 48591125, 48591225, 48591325, 48592825, 48593025, 48593125, 48593225, 48593525, 48593625, 48593725, 48594025, 48603325, 48663325, 88514625, 88514825, 88514925, 88515025, 88515125, 88516125, 88516325, 88516525, 88516725, 88516925, 88517125, 88517325, 88517425, 88520025, 128479625, 128479825, 128480025, 128480225, 128480325, 128482925, 128483125, 128483325, 128483525, 128483825, 128484125, 128484325, 128484525, 128493925, 171311825, 171311925, 171312025, 171313225, 171313325, 171313425, 171313525, 171313625, 171313725, 171313825, 171314025, 171319625, 171350225, 171350325, 171350425, 171350525, 171350625, 216704925, 216706125, 216706525, 216735225, 216735325, 216735425, 216735525, 216736025, 216736125, 216736225, 216736325, 216736425, 216736625, 216737025, 216737625, 268835025, 268835125, 268835325, 268836425, 268836525, 268836625, 268836725, 268836825, 268837025, 268837225, 268837425, 268838725, 292255425, 292255525, 292256625, 314368225, 314368325, 314368425, 314368525, 314368725, 314370025, 314370125, 314370225, 314370325, 314370425, 314370625, 314370725, 314372125, 314404125;-0
625;2025-01-08 15:33:00;Gasto;Con Compromiso;911310;CENTRO AGORPECUARIO-CAUCA;C-3603-1300-20-20305C-3603025-02;ADQUIS. DE BYS - SERVICIO DE FORMACIÓN PROFESIONAL INTEGRAL - FORTALECIMIENTO DE LA PRESTACIÓN DEL SERVICIO DE FORMACIÓN PROFESIONAL Y EL RECONOCIMIENTO DE SABERES PREVIOS CON ÉNFASIS EN POBLACIONES CAMPESINAS Y POPULARES EN COLOMBIA NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 64.028.470,00 ; $ -   ; $ 64.028.470,00 ; $ -   ;MONITORES: ASIGNAR MONITORIAS COMO ESTÍMULO A APRENDICES DESTACADOS, SEGÚN NORMATIVA DE MONITORIAS VIGENTE, PARA PRIMER Y SEGUNDO SEMESTRE AÑO 2025.;625;117525, 117625, 117725, 117825, 117925, 118025, 118125, 118225, 118325, 355725, 355825, 386125, 386225, 386325, 386425, 386525, 386625, 386725, 386825, 386925, 387025, 387125, 387225;99525, 99625, 99725, 99825, 99925, 100025, 100125, 100225, 100325, 139925, 140025;194025, 194125, 194225, 194325, 194425, 194525, 194625, 194725, 194825, 313825, 313925, 314025, 314125, 314225, 314325, 314425, 314525, 314625, 400625, 400725, 400825, 400925, 401025, 401125, 401225, 401325, 401425, 507425, 507525, 507625, 507725, 507825, 507925, 508025, 508225, 508325, 617225, 617325, 617425, 617525, 617625, 617725, 617825, 617925, 618025, 618125, 618225, 618325;150958225, 150958325, 150958425, 150958525, 150958625, 150958725, 150958825, 150959025, 150959125, 192983625, 192983825, 192984025, 192984125, 192984325, 192984425, 192984625, 192984725, 192984925, 243856525, 243856625, 243856725, 243856825, 243856925, 243857025, 243857125, 243857325, 243857525, 297066625, 297066725, 297066925, 297067025, 297067125, 297067225, 297067325, 297067525, 297067625, 338148925, 338149025, 338149225, 338149325, 338149425, 338149525, 338149625, 338149725, 338149925, 338150025, 338150125, 338150225;-0
725;2025-01-08 15:41:00;Gasto;Con Compromiso;911310;CENTRO AGORPECUARIO-CAUCA;C-3603-1300-20-20305C-3603025-02;ADQUIS. DE BYS - SERVICIO DE FORMACIÓN PROFESIONAL INTEGRAL - FORTALECIMIENTO DE LA PRESTACIÓN DEL SERVICIO DE FORMACIÓN PROFESIONAL Y EL RECONOCIMIENTO DE SABERES PREVIOS CON ÉNFASIS EN POBLACIONES CAMPESINAS Y POPULARES EN COLOMBIA NACIONAL;Nación;RECURSOS CORRIENTES;CSF; $ 159.219.500,00 ;-$ 455.850,00 ; $ 158.763.650,00 ; $ -   ;GIRAS TÉCNICAS: ASIGNACIÓN PRESUPUESTAL PARA ATENDER LAS GIRAS TÉCNICAS DE LOS PROGRAMAS DE FORMACIÓN APROBADAS POR LA DIRECCIÓN DE FORMACIÓN PROFESIONAL.;725;171325;133125;547525, 547625;314418425, 314418725;-0
825;2025-01-08 15:45:00;Gasto;Con Compromiso;911310;CENTRO AGORPECUARIO-CAUCA;C-3603-1300-20-20305C-3603025-02;ADQUIS. DE BYS - SERVICIO DE FORMACIÓN PROFESIONAL INTEGRAL - FORTALECIMIENTO DE LA PRESTACIÓN DEL SERVICIO DE FORMACIÓN PROFESIONAL Y EL RECONOCIMIENTO DE SABERES PREVIOS CON ÉNFASIS EN POBLACIONES CAMPESINAS Y POPULARES EN COLOMBIA NACIONAL;Propios;INGRESOS CORRIENTES;CSF; $ 310.300.000,00 ; $ -   ; $ 310.300.000,00 ; $ 160.616.480,00 ;SERVICIOS PÚBLICOS: SERVICIO DE ACUEDUCTO, ASEO, ALCANTARILLADO, EL SERVICIO Y ADQUISICIÓN DE ENERGÍA Y DE ENERGÍA DE MERCADO NO REGULADO, EL SERVICIO DE GAS, EL SERVICIO DE TELEFONÍA PÚBLICA, CELULAR, SATELITAL E INTERNET Y OTROS SERVICIOS PÚBLICOS;825;3325, 3825, 69325, 85225, 91925, 98725, 107725, 177725, 186725, 208725, 230725, 235225, 299625, 310425, 328325, 328425, 364125, 389225, 451325, 456325;125, 1025, 38425, 38525, 60025, 64825, 66425, 70625, 73225, 106125, 131625, 139325, 139425, 146125, 165225, 167125, 174325;2125, 2225, 53825, 53925, 104025, 128825, 128925, 129025, 167225, 217625, 303525, 303625, 320125, 355325, 558825, 558925, 559025, 619825, 623225;74659525, 74819325, 101388125, 116422125, 116422325, 142628225, 159151925, 188389525, 188389625, 201708925, 216741825, 314432725, 314432825, 314432925, 341653625;-0
925;2025-01-08 15:48:00;Gasto;Con Compromiso;911310;CENTRO AGORPECUARIO-CAUCA;C-3603-1300-20-20305C-3603025-02;ADQUIS. DE BYS - SERVICIO DE FORMACIÓN PROFESIONAL INTEGRAL - FORTALECIMIENTO DE LA PRESTACIÓN DEL SERVICIO DE FORMACIÓN PROFESIONAL Y EL RECONOCIMIENTO DE SABERES PREVIOS CON ÉNFASIS EN POBLACIONES CAMPESINAS Y POPULARES EN COLOMBIA NACIONAL;Nación;RECURSOS CORRIENTES;CSF; $ 10.300.000,00 ; $ -   ; $ 10.300.000,00 ; $ -   ;PAPELERÍA: PAPELERÍA, ÚTILES DE ESCRITORIO Y OFICINA, ASIGNACIÓN DE RECURSOS PARA TÓNER, TINTAS Y/O CINTAS DE IMPRESIÓN Y OTROS ELEMENTOS DE OFICINA.;925;165025;99325;400225, 400325, 449925, 450125;243856125, 243856225, 268892925, 268893025;-0
1025;2025-01-08 15:52:00;Gasto;Con Compromiso;911310;CENTRO AGORPECUARIO-CAUCA;C-3603-1300-20-20305C-3603025-02;ADQUIS. DE BYS - SERVICIO DE FORMACIÓN PROFESIONAL INTEGRAL - FORTALECIMIENTO DE LA PRESTACIÓN DEL SERVICIO DE FORMACIÓN PROFESIONAL Y EL RECONOCIMIENTO DE SABERES PREVIOS CON ÉNFASIS EN POBLACIONES CAMPESINAS Y POPULARES EN COLOMBIA NACIONAL;Nación;RECURSOS CORRIENTES;CSF; $ 29.325.000,00 ; $ -   ; $ 29.325.000,00 ; $ -   ;OTROS MATERIALES: RECURSOS PARA COMBUSTIBLES, LUBRICANTES,LLANTAS,BATERÍAS, FILTROS Y ACCESORIOS DEL PARQUE AUTOMOTOR;1025;103125;100425;400425, 400525, 510025, 510125, 510225, 510325, 510425, 510525, 619925, 620025;243856325, 243856425, 307221325, 307221425, 307221525, 307221625, 307221725, 307221825, 341653725, 341653825;-0
